run_id,event_time,collection_time,interface,target,rtt_ms,packet_loss
R00042,2026-09-16T12:12:14.784Z,2026-09-16T12:12:15.912Z,ueTun0,8.8.8.8,,1.0
R00042,2026-09-16T12:12:17.922Z,2026-09-16T12:12:18.928Z,ueTun0,8.8.8.8,,1.0
