run_id,event_time,collection_time,interface,target,rtt_ms,packet_loss
R00019,2026-09-16T12:08:33.258Z,2026-09-16T12:08:34.265Z,ueTun0,8.8.8.8,,1.0
R00019,2026-09-16T12:08:36.266Z,2026-09-16T12:08:37.278Z,ueTun0,8.8.8.8,,1.0
