run_id,event_time,collection_time,interface,target,rtt_ms,packet_loss
R00060,2026-09-16T12:46:55.947Z,2026-09-16T12:46:56.958Z,ueTun0,8.8.8.8,,1.0
R00060,2026-09-16T12:46:57.158Z,2026-09-16T12:46:58.163Z,ueTun0,8.8.8.8,,1.0
R00060,2026-09-16T12:46:58.364Z,2026-09-16T12:46:59.369Z,ueTun0,8.8.8.8,,1.0
R00060,2026-09-16T12:46:59.569Z,2026-09-16T12:47:00.574Z,ueTun0,8.8.8.8,,1.0
