run_id,event_time,collection_time,interface,target,rtt_ms,packet_loss
R00030,2026-09-16T12:10:17.941Z,2026-09-16T12:10:18.946Z,ueTun0,8.8.8.8,,1.0
R00030,2026-09-16T12:10:20.947Z,2026-09-16T12:10:21.951Z,ueTun0,8.8.8.8,,1.0
