run_id,event_time,collection_time,interface,target,rtt_ms,packet_loss
R00020,2026-09-16T12:08:42.644Z,2026-09-16T12:08:43.649Z,ueTun0,8.8.8.8,,1.0
R00020,2026-09-16T12:08:45.650Z,2026-09-16T12:08:46.654Z,ueTun0,8.8.8.8,,1.0
