run_id,event_time,collection_time,interface,target,rtt_ms,packet_loss
R00006,2026-09-16T11:56:03.524Z,2026-09-16T11:56:04.546Z,ueTun0,8.8.8.8,,1.0
R00006,2026-09-16T11:56:06.563Z,2026-09-16T11:56:07.687Z,ueTun0,8.8.8.8,,1.0
